,Title,Actor,Metascore
1200,The Equalizer,Denzel Washington,57.0
1201,The Equalizer,Marton Csokas,57.0
1202,The Equalizer,Chloë Grace Moretz,57.0
1203,The Equalizer,David Harbour,57.0
1204,Lone Survivor,Mark Wahlberg,60.0
1205,Lone Survivor,Taylor Kitsch,60.0
1206,Lone Survivor,Emile Hirsch,60.0
1207,Lone Survivor,Ben Foster,60.0
1208,The Cabin in the Woods,Kristen Connolly,72.0
1209,The Cabin in the Woods,Chris Hemsworth,72.0
1210,The Cabin in the Woods,Anna Hutchison,72.0
1211,The Cabin in the Woods,Fran Kranz,72.0
1212,The House Bunny,Anna Faris,55.0
1213,The House Bunny,Colin Hanks,55.0
1214,The House Bunny,Emma Stone,55.0
1215,The House Bunny,Kat Dennings,55.0
1216,She's Out of My League,Jay Baruchel,46.0
1217,She's Out of My League,Alice Eve,46.0
1218,She's Out of My League,T.J. Miller,46.0
1219,She's Out of My League,Mike Vogel,46.0
1220,Inherent Vice,Joaquin Phoenix,81.0
1221,Inherent Vice,Josh Brolin,81.0
1222,Inherent Vice,Owen Wilson,81.0
1223,Inherent Vice,Katherine Waterston,81.0
1224,Alice Through the Looking Glass,Mia Wasikowska,34.0
1225,Alice Through the Looking Glass,Johnny Depp,34.0
1226,Alice Through the Looking Glass,Helena Bonham Carter,34.0
1227,Alice Through the Looking Glass,Anne Hathaway,34.0
1228,Vincent N Roxxy,Emile Hirsch,
1229,Vincent N Roxxy,Zoë Kravitz,
1230,Vincent N Roxxy,Zoey Deutch,
1231,Vincent N Roxxy,Emory Cohen,
1232,The Fast and the Furious: Tokyo Drift,Lucas Black,45.0
1233,The Fast and the Furious: Tokyo Drift,Zachery Ty Bryan,45.0
1234,The Fast and the Furious: Tokyo Drift,Shad Moss,45.0
1235,The Fast and the Furious: Tokyo Drift,Damien Marzette,45.0
1236,How to Be Single,Dakota Johnson,51.0
1237,How to Be Single,Rebel Wilson,51.0
1238,How to Be Single,Leslie Mann,51.0
1239,How to Be Single,Alison Brie,51.0
1240,The Blind Side,Quinton Aaron,53.0
1241,The Blind Side,Sandra Bullock,53.0
1242,The Blind Side,Tim McGraw,53.0
1243,The Blind Side,Jae Head,53.0
1244,La vie d'Adèle,Léa Seydoux,88.0
1245,La vie d'Adèle,Adèle Exarchopoulos,88.0
1246,La vie d'Adèle,Salim Kechiouche,88.0
1247,La vie d'Adèle,Aurélien Recoing,88.0
1248,The Babadook,Essie Davis,86.0
1249,The Babadook,Noah Wiseman,86.0
1250,The Babadook,Daniel Henshall,86.0
1251,The Babadook,Hayley McElhinney,86.0
1252,The Hobbit: The Battle of the Five Armies,Ian McKellen,59.0
1253,The Hobbit: The Battle of the Five Armies,Martin Freeman,59.0
1254,The Hobbit: The Battle of the Five Armies,Richard Armitage,59.0
1255,The Hobbit: The Battle of the Five Armies,Cate Blanchett,59.0
1256,Harry Potter and the Order of the Phoenix,Daniel Radcliffe,71.0
1257,Harry Potter and the Order of the Phoenix,Emma Watson,71.0
1258,Harry Potter and the Order of the Phoenix,Rupert Grint,71.0
1259,Harry Potter and the Order of the Phoenix,Brendan Gleeson,71.0
1260,Snowpiercer,Chris Evans,84.0
1261,Snowpiercer,Jamie Bell,84.0
1262,Snowpiercer,Tilda Swinton,84.0
1263,Snowpiercer,Ed Harris,84.0
1264,The 5th Wave,Chloë Grace Moretz,33.0
1265,The 5th Wave,Matthew Zuk,33.0
1266,The 5th Wave,Gabriela Lopez,33.0
1267,The 5th Wave,Bailey Anne Borders,33.0
1268,The Stakelander,Connor Paolo,
1269,The Stakelander,Nick Damici,
1270,The Stakelander,Laura Abramsen,
1271,The Stakelander,A.C. Peterson,
1272,The Visit,Olivia DeJonge,55.0
1273,The Visit,Ed Oxenbould,55.0
1274,The Visit,Deanna Dunagan,55.0
1275,The Visit,Peter McRobbie,55.0
1276,Fast Five,Vin Diesel,66.0
1277,Fast Five,Paul Walker,66.0
1278,Fast Five,Dwayne Johnson,66.0
1279,Fast Five,Jordana Brewster,66.0
1280,Step Up,Channing Tatum,48.0
1281,Step Up,Jenna Dewan Tatum,48.0
1282,Step Up,Damaine Radcliff,48.0
1283,Step Up,De'Shawn Washington,48.0
1284,Lovesong,Riley Keough,74.0
1285,Lovesong,Jena Malone,74.0
1286,Lovesong,Jessie Ok Gray,74.0
1287,Lovesong,Cary Joji Fukunaga,74.0
1288,RocknRolla,Gerard Butler,53.0
1289,RocknRolla,Tom Wilkinson,53.0
1290,RocknRolla,Idris Elba,53.0
1291,RocknRolla,Thandie Newton,53.0
1292,In Time,Justin Timberlake,53.0
1293,In Time,Amanda Seyfried,53.0
1294,In Time,Cillian Murphy,53.0
1295,In Time,Olivia Wilde,53.0
1296,The Social Network,Jesse Eisenberg,95.0
1297,The Social Network,Andrew Garfield,95.0
1298,The Social Network,Justin Timberlake,95.0
1299,The Social Network,Rooney Mara,95.0
1300,The Last Witch Hunter,Vin Diesel,34.0
1301,The Last Witch Hunter,Rose Leslie,34.0
1302,The Last Witch Hunter,Elijah Wood,34.0
1303,The Last Witch Hunter,Ólafur Darri Ólafsson,34.0
1304,Victor Frankenstein,Daniel Radcliffe,36.0
1305,Victor Frankenstein,James McAvoy,36.0
1306,Victor Frankenstein,Jessica Brown Findlay,36.0
1307,Victor Frankenstein,Andrew Scott,36.0
1308,A Street Cat Named Bob,Luke Treadaway,54.0
1309,A Street Cat Named Bob,Bob the Cat,54.0
1310,A Street Cat Named Bob,Ruta Gedmintas,54.0
1311,A Street Cat Named Bob,Joanne Froggatt,54.0
1312,Green Room,Anton Yelchin,79.0
1313,Green Room,Imogen Poots,79.0
1314,Green Room,Alia Shawkat,79.0
1315,Green Room,Patrick Stewart,79.0
1316,Blackhat,Chris Hemsworth,51.0
1317,Blackhat,Viola Davis,51.0
1318,Blackhat,Wei Tang,51.0
1319,Blackhat,Leehom Wang,51.0
1320,Storks,Andy Samberg,56.0
1321,Storks,Katie Crown,56.0
1322,Storks,Kelsey Grammer,56.0
1323,Storks,Jennifer Aniston,56.0
1324,American Sniper,Bradley Cooper,72.0
1325,American Sniper,Sienna Miller,72.0
1326,American Sniper,Kyle Gallner,72.0
1327,American Sniper,Cole Konis,72.0
1328,Dallas Buyers Club,Matthew McConaughey,84.0
1329,Dallas Buyers Club,Jennifer Garner,84.0
1330,Dallas Buyers Club,Jared Leto,84.0
1331,Dallas Buyers Club,Steve Zahn,84.0
1332,Lincoln,Daniel Day-Lewis,86.0
1333,Lincoln,Sally Field,86.0
1334,Lincoln,David Strathairn,86.0
1335,Lincoln,Joseph Gordon-Levitt,86.0
1336,Rush,Daniel Brühl,75.0
1337,Rush,Chris Hemsworth,75.0
1338,Rush,Olivia Wilde,75.0
1339,Rush,Alexandra Maria Lara,75.0
1340,Before I Wake,Kate Bosworth,
1341,Before I Wake,Thomas Jane,
1342,Before I Wake,Jacob Tremblay,
1343,Before I Wake,Annabeth Gish,
1344,Silver Linings Playbook,Bradley Cooper,81.0
1345,Silver Linings Playbook,Jennifer Lawrence,81.0
1346,Silver Linings Playbook,Robert De Niro,81.0
1347,Silver Linings Playbook,Jacki Weaver,81.0
1348,Tracktown,Alexi Pappas,64.0
1349,Tracktown,Chase Offerle,64.0
1350,Tracktown,Rachel Dratch,64.0
1351,Tracktown,Andy Buckley,64.0
1352,The Fault in Our Stars,Shailene Woodley,69.0
1353,The Fault in Our Stars,Ansel Elgort,69.0
1354,The Fault in Our Stars,Nat Wolff,69.0
1355,The Fault in Our Stars,Laura Dern,69.0
1356,Blended,Adam Sandler,31.0
1357,Blended,Drew Barrymore,31.0
1358,Blended,Wendi McLendon-Covey,31.0
1359,Blended,Kevin Nealon,31.0
1360,Fast & Furious,Vin Diesel,46.0
1361,Fast & Furious,Paul Walker,46.0
1362,Fast & Furious,Michelle Rodriguez,46.0
1363,Fast & Furious,Jordana Brewster,46.0
1364,Looper,Joseph Gordon-Levitt,84.0
1365,Looper,Bruce Willis,84.0
1366,Looper,Emily Blunt,84.0
1367,Looper,Paul Dano,84.0
1368,White House Down,Channing Tatum,52.0
1369,White House Down,Jamie Foxx,52.0
1370,White House Down,Maggie Gyllenhaal,52.0
1371,White House Down,Jason Clarke,52.0
1372,Pete's Dragon,Bryce Dallas Howard,71.0
1373,Pete's Dragon,Robert Redford,71.0
1374,Pete's Dragon,Oakes Fegley,71.0
1375,Pete's Dragon,Oona Laurence,71.0
1376,Spider-Man 3,Tobey Maguire,59.0
1377,Spider-Man 3,Kirsten Dunst,59.0
1378,Spider-Man 3,Topher Grace,59.0
1379,Spider-Man 3,Thomas Haden Church,59.0
1380,The Three Musketeers,Logan Lerman,35.0
1381,The Three Musketeers,Matthew Macfadyen,35.0
1382,The Three Musketeers,Ray Stevenson,35.0
1383,The Three Musketeers,Milla Jovovich,35.0
1384,Stardust,Charlie Cox,66.0
1385,Stardust,Claire Danes,66.0
1386,Stardust,Sienna Miller,66.0
1387,Stardust,Ian McKellen,66.0
1388,American Hustle,Christian Bale,90.0
1389,American Hustle,Amy Adams,90.0
1390,American Hustle,Bradley Cooper,90.0
1391,American Hustle,Jennifer Lawrence,90.0
1392,Jennifer's Body,Megan Fox,47.0
1393,Jennifer's Body,Amanda Seyfried,47.0
1394,Jennifer's Body,Adam Brody,47.0
1395,Jennifer's Body,Johnny Simmons,47.0
1396,Midnight in Paris,Owen Wilson,81.0
1397,Midnight in Paris,Rachel McAdams,81.0
1398,Midnight in Paris,Kathy Bates,81.0
1399,Midnight in Paris,Kurt Fuller,81.0
1400,Lady Macbeth,Florence Pugh,83.0
1401,Lady Macbeth,Christopher Fairbank,83.0
1402,Lady Macbeth,Cosmo Jarvis,83.0
1403,Lady Macbeth,Naomi Ackie,83.0
1404,Joy,Jennifer Lawrence,56.0
1405,Joy,Robert De Niro,56.0
1406,Joy,Bradley Cooper,56.0
1407,Joy,Edgar Ramírez,56.0
1408,The Dressmaker,Kate Winslet,47.0
1409,The Dressmaker,Judy Davis,47.0
1410,The Dressmaker,Liam Hemsworth,47.0
1411,The Dressmaker,Hugo Weaving,47.0
1412,Café Society,Jesse Eisenberg,64.0
1413,Café Society,Kristen Stewart,64.0
1414,Café Society,Steve Carell,64.0
1415,Café Society,Blake Lively,64.0
1416,Insurgent,Shailene Woodley,42.0
1417,Insurgent,Ansel Elgort,42.0
1418,Insurgent,Theo James,42.0
1419,Insurgent,Kate Winslet,42.0
1420,Seventh Son,Ben Barnes,30.0
1421,Seventh Son,Julianne Moore,30.0
1422,Seventh Son,Jeff Bridges,30.0
1423,Seventh Son,Alicia Vikander,30.0
1424,Demain tout commence,Omar Sy,
1425,Demain tout commence,Clémence Poésy,
1426,Demain tout commence,Antoine Bertrand,
1427,Demain tout commence,Ashley Walters,
1428,The Theory of Everything,Eddie Redmayne,72.0
1429,The Theory of Everything,Felicity Jones,72.0
1430,The Theory of Everything,Tom Prior,72.0
1431,The Theory of Everything,Sophie Perry,72.0
1432,This Is the End,James Franco,67.0
1433,This Is the End,Jonah Hill,67.0
1434,This Is the End,Seth Rogen,67.0
1435,This Is the End,Jay Baruchel,67.0
1436,About Time,Domhnall Gleeson,55.0
1437,About Time,Rachel McAdams,55.0
1438,About Time,Bill Nighy,55.0
1439,About Time,Lydia Wilson,55.0
1440,Step Brothers,Will Ferrell,51.0
1441,Step Brothers,John C. Reilly,51.0
1442,Step Brothers,Mary Steenburgen,51.0
1443,Step Brothers,Richard Jenkins,51.0
1444,Clown,Andy Powers,42.0
1445,Clown,Laura Allen,42.0
1446,Clown,Peter Stormare,42.0
1447,Clown,Christian Distefano,42.0
1448,Star Trek Into Darkness,Chris Pine,72.0
1449,Star Trek Into Darkness,Zachary Quinto,72.0
1450,Star Trek Into Darkness,Zoe Saldana,72.0
1451,Star Trek Into Darkness,Benedict Cumberbatch,72.0
1452,Zombieland,Jesse Eisenberg,73.0
1453,Zombieland,Emma Stone,73.0
1454,Zombieland,Woody Harrelson,73.0
1455,Zombieland,Abigail Breslin,73.0
1456,"Hail, Caesar!",Josh Brolin,72.0
1457,"Hail, Caesar!",George Clooney,72.0
1458,"Hail, Caesar!",Alden Ehrenreich,72.0
1459,"Hail, Caesar!",Ralph Fiennes,72.0
1460,Slumdog Millionaire,Dev Patel,86.0
1461,Slumdog Millionaire,Freida Pinto,86.0
1462,Slumdog Millionaire,Saurabh Shukla,86.0
1463,Slumdog Millionaire,Anil Kapoor,86.0
1464,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart,52.0
1465,The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,52.0
1466,The Twilight Saga: Breaking Dawn - Part 2,Taylor Lautner,52.0
1467,The Twilight Saga: Breaking Dawn - Part 2,Peter Facinelli,52.0
1468,American Wrestler: The Wizard,William Fichtner,
1469,American Wrestler: The Wizard,Jon Voight,
1470,American Wrestler: The Wizard,Lia Marie Johnson,
1471,American Wrestler: The Wizard,Gabriel Basso,
1472,The Amazing Spider-Man,Andrew Garfield,66.0
1473,The Amazing Spider-Man,Emma Stone,66.0
1474,The Amazing Spider-Man,Rhys Ifans,66.0
1475,The Amazing Spider-Man,Irrfan Khan,66.0
1476,Ben-Hur,Jack Huston,38.0
1477,Ben-Hur,Toby Kebbell,38.0
1478,Ben-Hur,Rodrigo Santoro,38.0
1479,Ben-Hur,Nazanin Boniadi,38.0
1480,Sleight,Jacob Latimore,62.0
1481,Sleight,Seychelle Gabriel,62.0
1482,Sleight,Dulé Hill,62.0
1483,Sleight,Storm Reid,62.0
1484,The Maze Runner,Dylan O'Brien,57.0
1485,The Maze Runner,Kaya Scodelario,57.0
1486,The Maze Runner,Will Poulter,57.0
1487,The Maze Runner,Thomas Brodie-Sangster,57.0
1488,Criminal,Kevin Costner,36.0
1489,Criminal,Ryan Reynolds,36.0
1490,Criminal,Gal Gadot,36.0
1491,Criminal,Gary Oldman,36.0
1492,Wanted,Angelina Jolie,64.0
1493,Wanted,James McAvoy,64.0
1494,Wanted,Morgan Freeman,64.0
1495,Wanted,Terence Stamp,64.0
1496,Florence Foster Jenkins,Meryl Streep,71.0
1497,Florence Foster Jenkins,Hugh Grant,71.0
1498,Florence Foster Jenkins,Simon Helberg,71.0
1499,Florence Foster Jenkins,Rebecca Ferguson,71.0
1500,Collide,Nicholas Hoult,33.0
1501,Collide,Felicity Jones,33.0
1502,Collide,Anthony Hopkins,33.0
1503,Collide,Ben Kingsley,33.0
1504,Black Mass,Johnny Depp,68.0
1505,Black Mass,Benedict Cumberbatch,68.0
1506,Black Mass,Dakota Johnson,68.0
1507,Black Mass,Joel Edgerton,68.0
1508,Creed,Michael B. Jordan,82.0
1509,Creed,Sylvester Stallone,82.0
1510,Creed,Tessa Thompson,82.0
1511,Creed,Phylicia Rashad,82.0
1512,Swiss Army Man,Paul Dano,64.0
1513,Swiss Army Man,Daniel Radcliffe,64.0
1514,Swiss Army Man,Mary Elizabeth Winstead,64.0
1515,Swiss Army Man,Antonia Ribero,64.0
1516,The Expendables 3,Sylvester Stallone,35.0
1517,The Expendables 3,Jason Statham,35.0
1518,The Expendables 3,Jet Li,35.0
1519,The Expendables 3,Antonio Banderas,35.0
1520,What We Do in the Shadows,Jemaine Clement,76.0
1521,What We Do in the Shadows,Taika Waititi,76.0
1522,What We Do in the Shadows,Cori Gonzalez-Macuer,76.0
1523,What We Do in the Shadows,Jonny Brugh,76.0
1524,Southpaw,Jake Gyllenhaal,57.0
1525,Southpaw,Rachel McAdams,57.0
1526,Southpaw,Oona Laurence,57.0
1527,Southpaw,Forest Whitaker,57.0
1528,Hush,John Gallagher Jr.,67.0
1529,Hush,Kate Siegel,67.0
1530,Hush,Michael Trucco,67.0
1531,Hush,Samantha Sloyan,67.0
1532,Bridge of Spies,Tom Hanks,81.0
1533,Bridge of Spies,Mark Rylance,81.0
1534,Bridge of Spies,Alan Alda,81.0
1535,Bridge of Spies,Amy Ryan,81.0
1536,The Lego Movie,Chris Pratt,83.0
1537,The Lego Movie,Will Ferrell,83.0
1538,The Lego Movie,Elizabeth Banks,83.0
1539,The Lego Movie,Will Arnett,83.0
1540,Everest,Jason Clarke,64.0
1541,Everest,Ang Phula Sherpa,64.0
1542,Everest,Thomas M. Wright,64.0
1543,Everest,Martin Henderson,64.0
1544,Pixels,Adam Sandler,27.0
1545,Pixels,Kevin James,27.0
1546,Pixels,Michelle Monaghan,27.0
1547,Pixels,Peter Dinklage,27.0
1548,Robin Hood,Russell Crowe,53.0
1549,Robin Hood,Cate Blanchett,53.0
1550,Robin Hood,Matthew Macfadyen,53.0
1551,Robin Hood,Max von Sydow,53.0
1552,The Wolverine,Hugh Jackman,60.0
1553,The Wolverine,Will Yun Lee,60.0
1554,The Wolverine,Tao Okamoto,60.0
1555,The Wolverine,Rila Fukushima,60.0
1556,John Carter,Taylor Kitsch,51.0
1557,John Carter,Lynn Collins,51.0
1558,John Carter,Willem Dafoe,51.0
1559,John Carter,Samantha Morton,51.0
1560,Keanu,Keegan-Michael Key,63.0
1561,Keanu,Jordan Peele,63.0
1562,Keanu,Tiffany Haddish,63.0
1563,Keanu,Method Man,63.0
1564,The Gunman,Sean Penn,39.0
1565,The Gunman,Idris Elba,39.0
1566,The Gunman,Jasmine Trinca,39.0
1567,The Gunman,Javier Bardem,39.0
1568,Steve Jobs,Michael Fassbender,82.0
1569,Steve Jobs,Kate Winslet,82.0
1570,Steve Jobs,Seth Rogen,82.0
1571,Steve Jobs,Jeff Daniels,82.0
1572,Whisky Galore,Tim Pigott-Smith,43.0
1573,Whisky Galore,Naomi Battrick,43.0
1574,Whisky Galore,Ellie Kendrick,43.0
1575,Whisky Galore,James Cosmo,43.0
1576,Grown Ups 2,Adam Sandler,19.0
1577,Grown Ups 2,Kevin James,19.0
1578,Grown Ups 2,Chris Rock,19.0
1579,Grown Ups 2,David Spade,19.0
1580,The Age of Adaline,Blake Lively,51.0
1581,The Age of Adaline,Michiel Huisman,51.0
1582,The Age of Adaline,Harrison Ford,51.0
1583,The Age of Adaline,Kathy Baker,51.0
1584,The Incredible Hulk,Edward Norton,61.0
1585,The Incredible Hulk,Liv Tyler,61.0
1586,The Incredible Hulk,Tim Roth,61.0
1587,The Incredible Hulk,William Hurt,61.0
1588,Couples Retreat,Vince Vaughn,23.0
1589,Couples Retreat,Malin Akerman,23.0
1590,Couples Retreat,Jon Favreau,23.0
1591,Couples Retreat,Jason Bateman,23.0
1592,Absolutely Anything,Simon Pegg,31.0
1593,Absolutely Anything,Kate Beckinsale,31.0
1594,Absolutely Anything,Sanjeev Bhaskar,31.0
1595,Absolutely Anything,Rob Riggle,31.0
1596,Magic Mike,Channing Tatum,72.0
1597,Magic Mike,Alex Pettyfer,72.0
1598,Magic Mike,Olivia Munn,72.0
1599,Magic Mike,Matthew McConaughey,72.0
1600,Minions,Sandra Bullock,56.0
1601,Minions,Jon Hamm,56.0
1602,Minions,Michael Keaton,56.0
1603,Minions,Pierre Coffin,56.0
1604,The Black Room,Natasha Henstridge,71.0
1605,The Black Room,Lukas Hassel,71.0
1606,The Black Room,Lin Shaye,71.0
1607,The Black Room,Dominique Swain,71.0
1608,Bronson,Tom Hardy,
1609,Bronson,Kelly Adams,
1610,Bronson,Luing Andrews,
1611,Bronson,Katy Barker,
1612,Despicable Me,Steve Carell,72.0
1613,Despicable Me,Jason Segel,72.0
1614,Despicable Me,Russell Brand,72.0
1615,Despicable Me,Julie Andrews,72.0
1616,The Best of Me,James Marsden,29.0
1617,The Best of Me,Michelle Monaghan,29.0
1618,The Best of Me,Luke Bracey,29.0
1619,The Best of Me,Liana Liberato,29.0
1620,The Invitation,Logan Marshall-Green,74.0
1621,The Invitation,Emayatzy Corinealdi,74.0
1622,The Invitation,Michiel Huisman,74.0
1623,The Invitation,Tammy Blanchard,74.0
1624,Zero Dark Thirty,Jessica Chastain,95.0
1625,Zero Dark Thirty,Joel Edgerton,95.0
1626,Zero Dark Thirty,Chris Pratt,95.0
1627,Zero Dark Thirty,Mark Strong,95.0
1628,Tangled,Mandy Moore,71.0
1629,Tangled,Zachary Levi,71.0
1630,Tangled,Donna Murphy,71.0
1631,Tangled,Ron Perlman,71.0
1632,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence,65.0
1633,The Hunger Games: Mockingjay - Part 2,Josh Hutcherson,65.0
1634,The Hunger Games: Mockingjay - Part 2,Liam Hemsworth,65.0
1635,The Hunger Games: Mockingjay - Part 2,Woody Harrelson,65.0
1636,Vacation,Ed Helms,34.0
1637,Vacation,Christina Applegate,34.0
1638,Vacation,Skyler Gisondo,34.0
1639,Vacation,Steele Stebbins,34.0
1640,Taken,Liam Neeson,50.0
1641,Taken,Maggie Grace,50.0
1642,Taken,Famke Janssen,50.0
1643,Taken,Leland Orser,50.0
1644,Pitch Perfect 2,Anna Kendrick,63.0
1645,Pitch Perfect 2,Rebel Wilson,63.0
1646,Pitch Perfect 2,Hailee Steinfeld,63.0
1647,Pitch Perfect 2,Brittany Snow,63.0
1648,Monsters University,Billy Crystal,65.0
1649,Monsters University,John Goodman,65.0
1650,Monsters University,Steve Buscemi,65.0
1651,Monsters University,Helen Mirren,65.0
1652,Elle,Isabelle Huppert,89.0
1653,Elle,Laurent Lafitte,89.0
1654,Elle,Anne Consigny,89.0
1655,Elle,Charles Berling,89.0
1656,Mechanic: Resurrection,Jason Statham,38.0
1657,Mechanic: Resurrection,Jessica Alba,38.0
1658,Mechanic: Resurrection,Tommy Lee Jones,38.0
1659,Mechanic: Resurrection,Michelle Yeoh,38.0
1660,Tusk,Justin Long,55.0
1661,Tusk,Michael Parks,55.0
1662,Tusk,Haley Joel Osment,55.0
1663,Tusk,Genesis Rodriguez,55.0
1664,The Headhunter's Calling,Alison Brie,85.0
1665,The Headhunter's Calling,Gerard Butler,85.0
1666,The Headhunter's Calling,Willem Dafoe,85.0
1667,The Headhunter's Calling,Gretchen Mol,85.0
1668,Atonement,Keira Knightley,
1669,Atonement,James McAvoy,
1670,Atonement,Brenda Blethyn,
1671,Atonement,Saoirse Ronan,
1672,Harry Potter and the Deathly Hallows: Part 1,Daniel Radcliffe,65.0
1673,Harry Potter and the Deathly Hallows: Part 1,Emma Watson,65.0
1674,Harry Potter and the Deathly Hallows: Part 1,Rupert Grint,65.0
1675,Harry Potter and the Deathly Hallows: Part 1,Bill Nighy,65.0
1676,Shame,Michael Fassbender,72.0
1677,Shame,Carey Mulligan,72.0
1678,Shame,James Badge Dale,72.0
1679,Shame,Lucy Walters,72.0
1680,Hanna,Saoirse Ronan,65.0
1681,Hanna,Cate Blanchett,65.0
1682,Hanna,Eric Bana,65.0
1683,Hanna,Vicky Krieps,65.0
1684,The Babysitters,Lauren Birkell,35.0
1685,The Babysitters,Paul Borghese,35.0
1686,The Babysitters,Chira Cassel,35.0
1687,The Babysitters,Anthony Cirillo,35.0
1688,Pride and Prejudice and Zombies,Lily James,45.0
1689,Pride and Prejudice and Zombies,Sam Riley,45.0
1690,Pride and Prejudice and Zombies,Jack Huston,45.0
1691,Pride and Prejudice and Zombies,Bella Heathcote,45.0
1692,300: Rise of an Empire,Sullivan Stapleton,48.0
1693,300: Rise of an Empire,Eva Green,48.0
1694,300: Rise of an Empire,Lena Headey,48.0
1695,300: Rise of an Empire,Hans Matheson,48.0
1696,London Has Fallen,Gerard Butler,28.0
1697,London Has Fallen,Aaron Eckhart,28.0
1698,London Has Fallen,Morgan Freeman,28.0
1699,London Has Fallen,Angela Bassett,28.0
1700,The Curious Case of Benjamin Button,Brad Pitt,70.0
1701,The Curious Case of Benjamin Button,Cate Blanchett,70.0
1702,The Curious Case of Benjamin Button,Tilda Swinton,70.0
1703,The Curious Case of Benjamin Button,Julia Ormond,70.0
1704,Sin City: A Dame to Kill For,Mickey Rourke,46.0
1705,Sin City: A Dame to Kill For,Jessica Alba,46.0
1706,Sin City: A Dame to Kill For,Josh Brolin,46.0
1707,Sin City: A Dame to Kill For,Joseph Gordon-Levitt,46.0
1708,The Bourne Ultimatum,Matt Damon,85.0
1709,The Bourne Ultimatum,Edgar Ramírez,85.0
1710,The Bourne Ultimatum,Joan Allen,85.0
1711,The Bourne Ultimatum,Julia Stiles,85.0
1712,Srpski film,Srdjan 'Zika' Todorovic,55.0
1713,Srpski film,Sergej Trifunovic,55.0
1714,Srpski film,Jelena Gavrilovic,55.0
1715,Srpski film,Slobodan Bestic,55.0
1716,The Purge: Election Year,Frank Grillo,
1717,The Purge: Election Year,Elizabeth Mitchell,
1718,The Purge: Election Year,Mykelti Williamson,
1719,The Purge: Election Year,Joseph Julian Soria,
1720,3 Idiots,Aamir Khan,67.0
1721,3 Idiots,Madhavan,67.0
1722,3 Idiots,Mona Singh,67.0
1723,3 Idiots,Sharman Joshi,67.0
1724,Zoolander 2,Ben Stiller,34.0
1725,Zoolander 2,Owen Wilson,34.0
1726,Zoolander 2,Penélope Cruz,34.0
1727,Zoolander 2,Will Ferrell,34.0
1728,World War Z,Brad Pitt,63.0
1729,World War Z,Mireille Enos,63.0
1730,World War Z,Daniella Kertesz,63.0
1731,World War Z,James Badge Dale,63.0
1732,Mission: Impossible - Ghost Protocol,Tom Cruise,73.0
1733,Mission: Impossible - Ghost Protocol,Jeremy Renner,73.0
1734,Mission: Impossible - Ghost Protocol,Simon Pegg,73.0
1735,Mission: Impossible - Ghost Protocol,Paula Patton,73.0
1736,Let Me Make You a Martyr,Marilyn Manson,56.0
1737,Let Me Make You a Martyr,Mark Boone Junior,56.0
1738,Let Me Make You a Martyr,Sam Quartin,56.0
1739,Let Me Make You a Martyr,Niko Nicotera,56.0
1740,Filth,James McAvoy,
1741,Filth,Jamie Bell,
1742,Filth,Eddie Marsan,
1743,Filth,Imogen Poots,
1744,The Longest Ride,Scott Eastwood,33.0
1745,The Longest Ride,Britt Robertson,33.0
1746,The Longest Ride,Alan Alda,33.0
1747,The Longest Ride,Jack Huston,33.0
1748,The imposible,Naomi Watts,73.0
1749,The imposible,Ewan McGregor,73.0
1750,The imposible,Tom Holland,73.0
1751,The imposible,Oaklee Pendergast,73.0
1752,Kick-Ass 2,Aaron Taylor-Johnson,41.0
1753,Kick-Ass 2,Chloë Grace Moretz,41.0
1754,Kick-Ass 2,Christopher Mintz-Plasse,41.0
1755,Kick-Ass 2,Jim Carrey,41.0
1756,Folk Hero & Funny Guy,Alex Karpovsky,63.0
1757,Folk Hero & Funny Guy,Wyatt Russell,63.0
1758,Folk Hero & Funny Guy,Meredith Hagner,63.0
1759,Folk Hero & Funny Guy,Melanie Lynskey,63.0
1760,Oz the Great and Powerful,James Franco,44.0
1761,Oz the Great and Powerful,Michelle Williams,44.0
1762,Oz the Great and Powerful,Rachel Weisz,44.0
1763,Oz the Great and Powerful,Mila Kunis,44.0
1764,Brooklyn,Saoirse Ronan,87.0
1765,Brooklyn,Emory Cohen,87.0
1766,Brooklyn,Domhnall Gleeson,87.0
1767,Brooklyn,Jim Broadbent,87.0
1768,Coraline,Dakota Fanning,80.0
1769,Coraline,Teri Hatcher,80.0
1770,Coraline,John Hodgman,80.0
1771,Coraline,Jennifer Saunders,80.0
1772,Blue Valentine,Ryan Gosling,81.0
1773,Blue Valentine,Michelle Williams,81.0
1774,Blue Valentine,John Doman,81.0
1775,Blue Valentine,Faith Wladyka,81.0
1776,The Thinning,Logan Paul,31.0
1777,The Thinning,Peyton List,31.0
1778,The Thinning,Lia Marie Johnson,31.0
1779,The Thinning,Calum Worthy,31.0
1780,Silent Hill,Radha Mitchell,
1781,Silent Hill,Laurie Holden,
1782,Silent Hill,Sean Bean,
1783,Silent Hill,Deborah Kara Unger,
1784,Dredd,Karl Urban,59.0
1785,Dredd,Olivia Thirlby,59.0
1786,Dredd,Lena Headey,59.0
1787,Dredd,Rachel Wood,59.0
1788,Hunt for the Wilderpeople,Sam Neill,81.0
